"","GSM4250514","GSM4250515","GSM4250516","GSM4250517","GSM4250518","GSM4250519","GSM4250520","GSM4250521","GSM4250522","GSM4250523","GSM4250524","GSM4250525","GSM4250526","GSM4250527","GSM4250528","GSM4250529","GSM4250530","GSM4250531","GSM4250532","GSM4250533","GSM4250534","GSM4250535","GSM4250536","GSM4250537","GSM4250538","GSM4250539","GSM4250540","GSM4250541","GSM4250542","GSM4250543","GSM4250544","GSM4250545","GSM4250546","GSM4250547","GSM4250548","GSM4250549"
"hsa-miR-1245b-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1245b-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1246",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1247-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1248",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1249-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1249-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1250-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1252-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1253",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1254",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1255a",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1255b-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1257",5.44128427192704,5.17751920259781,5.34660237529899,5.28503224962291,5.44824022521607,5.05918219921169,4.58315800387441,5.15015345524625,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.88362081628567,5.05831649559082,5.32696871158789,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1258",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-125a-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-125a-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-125b-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.86888427302877,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-126-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1260a",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1260b",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1261",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1262",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,5.20554891117303,5.21761848535105,5.06047978140759,5.46074256378964,5.5963388642052,5.14730669878029,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1264",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1266-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1268a",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1268b",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1269a",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
